,Palavra,Categoria gramatical,Fonética
21634,dis·tri·bu·ti·vo,adjetivo,dʒis.tɾi.bu.tʃˈi.vʊ
21635,dis·tri·tal,adjetivo,dʒis.tɾi.tˈaw
21636,dis·tri·to,nome masculino,dʒis.tɾˈi.tʊ
21637,dis·tro·fi·a,nome feminino,dʒis.tɾo.fˈi.jə
21638,dis·túr·bi·o,nome masculino,dʒis.tˈuɾ.bjʊ
21639,di·ta,nome feminino,dʒˈi.tə
21640,di·ta·do,adjetivo,dʒi.tˈa.dʊ
21641,di·ta·do,nome masculino,dʒi.tˈa.dʊ
21642,di·ta·dor,nome masculino,dʒi.ta.dˈoɾ
21643,di·ta·du·ra,nome feminino,dʒi.ta.dˈu.ɾə
21644,di·ta·me,nome masculino,dʒi.tˈə.mi
21645,di·tar,verbo,dʒi.tˈa
21646,di·ta·to·ri·al,adjetivo,dʒi.ta.to.ɾjˈaw
21647,di·ta·to·ri·al·men·te,advérbio,dʒi.ta.to.ɾjaw.mˈẽj.tʃi
21648,di·te·ís·mo,nome masculino,dʒi.te.ˈiz.mʊ
21649,di·ten·da,nome feminino,dʒi.tˈẽj.də
21650,di·ti·nho,nome masculino,dʒi.tʃˈi.ɲʊ
21651,di·ti·ram·bi·ca·men·te,advérbio,dʒi.tʃi.ɾə̃.bi.ka.mˈẽj.tʃi
21652,di·ti·râm·bi·co,adjetivo,dʒi.tʃi.ɾˈə̃.bi.kʊ
21653,di·ti·ram·bo,nome masculino,dʒi.tʃi.ɾˈə̃.bʊ
21654,di·to,adjetivo,dʒˈi.tʊ
21655,di·to,nome masculino,dʒˈi.tʊ
21656,di·ton·gar,verbo,dʒi.tõ.gˈa
21657,di·ton·go,nome masculino,dʒi.tˈõ.gʊ
21658,di·to·sa·men·te,advérbio,dʒi.tɔ.za.mˈẽj.tʃi
21659,di·to·so,adjetivo,dʒi.tˈo.zʊ
21660,di·u·en·se,nome masculino,dʒi.wˈẽj.si ou dʒi.wˈẽj.si
21661,di·u·en·se,adjetivo,dʒi.wˈẽj.si
21662,diu·ré·ti·co,adjetivo,dʒi.u.ɾˈɛ.tʃi.kʊ
21663,diu·ré·ti·co,nome masculino,dʒi.u.ɾˈɛ.tʃi.kʊ
21664,di·ur·no,nome masculino,dʒi.ˈur.nʊ
21665,di·ur·no,adjetivo,dʒi.ˈur.nʊ
21666,diu·so,nome masculino,dʒi.ˈu.zʊ
21667,diu·tur·ni·da·de,nome feminino,dʒi.u.tur.ni.dˈa.dʒi
21668,di·vã,nome masculino,dʒi.vˈə̃
21669,di·va,nome feminino,dʒˈi.və
21670,di·va·ga·ção,nome feminino,dʒi.va.ga.sˈə̃w
21671,di·va·gan·te,adjetivo,dʒi.va.gˈə̃.tʃi
21672,di·va·gar,verbo,dʒi.va.gˈa
21673,di·va·len·te,adjetivo,dʒi.va.lˈẽj.tʃi
21674,di·ver·gên·ci·a,nome feminino,dʒi.veɾ.ʒˈẽj.sjə
21675,di·ver·gen·te,adjetivo,dʒi.veɾ.ʒˈẽj.tʃi
21676,di·ver·gir,verbo,dʒi.veɾ.ʒˈi
21677,di·ver·sa·men·te,advérbio,dʒi.vɛɾ.sa.mˈẽj.tʃi
21678,di·ver·são,nome feminino,dʒi.veɾ.sˈə̃w
21679,di·ver·si·da·de,nome feminino,dʒi.veɾ.si.dˈa.dʒi
21680,di·ver·si·fi·ca·ção,nome feminino,dʒi.veɾ.si.fi.ka.sˈə̃w
21681,di·ver·si·fi·ca·dor,adjetivo,dʒi.veɾ.si.fi.ka.dˈoɾ
21682,di·ver·si·fi·ca·dor,nome masculino,dʒi.veɾ.si.fi.ka.dˈoɾ
21683,di·ver·si·fi·car,verbo,dʒi.veɾ.si.fi.kˈa
21684,di·ver·so,adjetivo,dʒi.vˈɛɾ.sʊ
21685,di·ver·so,artigo,dʒi.vˈɛɾ.sʊ
21686,di·ver·sos,pronome,dʒi.vˈɛɾ.sʊs
21687,di·ver·ti·da·men·te,advérbio,dʒi.veɾ.tʃi.da.mˈẽj.tʃi
21688,di·ver·ti·dís·si·mo,adjetivo,dʒi.veɾ.tʃi.dʒˈi.si.mʊ
21689,di·ver·ti·do,adjetivo,dʒi.veɾ.tʃˈi.dʊ
21690,di·ver·ti·men·to,nome masculino,dʒi.veɾ.tʃi.mˈẽj.tʊ
21691,di·ver·tir,verbo,dʒi.veɾ.tʃˈi
21692,di·vi·ci·o·so,adjetivo,dʒi.vi.si.ˈo.zʊ
21693,dí·vi·da,nome feminino,dʒˈi.vi.də
21694,di·vi·den·do,adjetivo,dʒi.vi.dˈẽj.dʊ
21695,di·vi·den·do,nome masculino,dʒi.vi.dˈẽj.dʊ
21696,di·vi·di·do,adjetivo,dʒi.vi.dʒˈi.dʊ
21697,di·vi·dir,verbo,dʒi.vi.dʒˈi
21698,di·vi·na,nome feminino,dʒi.vˈi.nə
21699,di·vi·nal,adjetivo,dʒi.vi.nˈaw
21700,di·vi·nal·men·te,advérbio,dʒi.vi.naw.mˈẽj.tʃi
21701,di·vi·na·men·te,advérbio,dʒi.vi.na.mˈẽj.tʃi
21702,di·vi·na·tó·ri·o,adjetivo,dʒi.vi.na.tˈɔ.ɾjʊ
21703,di·vin·da·de,nome feminino,dʒi.vĩ.dˈa.dʒi
21704,di·vi·ni·za·ção,nome feminino,dʒi.vi.ni.za.sˈə̃w
21705,di·vi·ni·zan·te,adjetivo,dʒi.vi.ni.zˈə̃.tʃi
21706,di·vi·ni·zar,verbo,dʒi.vi.ni.zˈa
21707,di·vi·no,adjetivo,dʒi.vˈi.nʊ
21708,di·vi·no,nome masculino,dʒi.vˈi.nʊ
21709,di·vi·sa,nome feminino,dʒi.vˈi.zə
21710,di·vi·são,nome feminino,dʒi.vi.zˈə̃w
21711,di·vi·sar,verbo,dʒi.vi.zˈa
21712,di·vi·si·bi·li·da·de,nome feminino,dʒi.vi.zi.bi.li.dˈa.dʒi
21713,di·vi·si·o·nal,adjetivo,dʒi.vi.zi.o.nˈaw
21714,di·vi·si·o·ná·ri·o,adjetivo,dʒi.vi.zi.o.nˈa.ɾjʊ
21715,di·vi·si·o·nis·mo,nome masculino,dʒi.vi.zi.o.nˈiz.mʊ
21716,di·vi·si·o·nis·ta,nome masculino,dʒi.vi.zi.o.nˈis.tə
21717,di·vi·si·o·nis·ta,adjetivo,dʒi.vi.zi.o.nˈis.tə
21718,di·vi·si·o·nis·ta,nome feminino,dʒi.vi.zi.o.nˈis.tə
21719,di·vi·sí·vel,adjetivo,dʒi.vi.zˈi.vew
21720,di·vi·si·vo,adjetivo,dʒi.vi.zˈi.vʊ
21721,di·vi·so,adjetivo,dʒi.vˈi.zʊ
21722,di·vi·sor,nome masculino,dʒi.vi.zˈoɾ
21723,di·vi·sor,adjetivo,dʒi.vi.zˈoɾ
21724,di·vi·só·ri·a,nome feminino,dʒi.vi.zˈɔ.ɾjə
21725,di·vi·só·ri·o,adjetivo,dʒi.vi.zˈɔ.ɾjʊ
21726,di·vi·só·ri·o,nome masculino,dʒi.vi.zˈɔ.ɾjʊ
21727,di·vo,nome masculino,dʒˈi.vʊ
21728,di·vo,adjetivo,dʒˈi.vʊ
21729,di·vor·ci·a·da,nome feminino,dʒi.voɾ.sjˈa.də
21730,di·vor·ci·a·do,adjetivo,dʒi.voɾ.sjˈa.dʊ
21731,di·vor·ci·a·do,nome masculino,dʒi.voɾ.sjˈa.dʊ
21732,di·vor·ci·ar,verbo,dʒi.voɾ.sjˈa
21733,di·vór·ci·o,nome masculino,dʒi.vˈɔɾ.sjʊ
21734,di·vul·ga·ção,nome feminino,dʒi.vuw.ga.sˈə̃w
21735,di·vul·ga·do,adjetivo,dʒi.vuw.gˈa.dʊ
21736,di·vul·ga·dor,adjetivo,dʒi.vuw.ga.dˈoɾ
21737,di·vul·ga·dor,nome masculino,dʒi.vuw.ga.dˈoɾ
21738,di·vul·ga·do·ra,nome feminino,dʒi.vuw.ga.dˈo.ɾə
21739,di·vul·gar,verbo,dʒi.vuw.gˈa
21740,di·vul·gá·vel,adjetivo,dʒi.vuw.gˈa.vew
21741,di·xe,nome masculino,dʒˈi.ʃi
21742,di·zam·ba,nome feminino,dʒi.zˈə̃.bə
21743,di·zan·ga,nome feminino,dʒi.zˈə̃.gə
21744,di·zer,verbo,dʒi.zˈe
21745,di·zer,nome masculino,dʒi.zˈeɾ
21746,dí·zi·ma,nome feminino,dʒˈi.zi.mə
21747,di·zi·ma·ção,nome feminino,dʒi.zi.ma.sˈə̃w
21748,di·zi·mar,verbo,dʒi.zi.mˈa
21749,dí·zi·mo,nome masculino,dʒˈi.zi.mʊ
21750,dí·zi·mo,adjetivo,dʒˈi.zi.mʊ
21751,di·zí·vel,adjetivo,dʒi.zˈi.vew
21752,djo·la,adjetivo,dʒˈɔ.lə
21753,djo·la,nome masculino,dʒˈɔ.lə ou dʒˈɔ.lə
21754,dó,nome masculino,dˈɔ
21755,do·a·ção,nome feminino,do.a.sˈə̃w
21756,do·a·dor,adjetivo,do.a.dˈoɾ
21757,do·a·dor,nome masculino,do.a.dˈoɾ
21758,do·a·do·ra,nome feminino,do.a.dˈo.ɾə
21759,do·ar,verbo,do.ˈa
21760,do·ba·dou·ra,nome feminino,do.ba.dˈo.ɾə
21761,do·bar,verbo,do.bˈa
21762,do·ble,nome masculino,dˈɔ.bli
21763,do·ble,adjetivo,dˈɔ.bli
21764,do·bra,nome feminino,dˈɔ.bɾə
21765,do·bra·da,nome feminino,do.bɾˈa.də
21766,do·bra·da·men·te,advérbio,do.bɾa.da.mˈẽj.tʃi
21767,do·bra·di·ça,nome feminino,do.bɾa.dʒˈi.sə
21768,do·bra·di·ço,adjetivo,do.bɾa.dʒˈi.sʊ
21769,do·bra·do,nome masculino,do.bɾˈa.dʊ
21770,do·bra·do,adjetivo,do.bɾˈa.dʊ
21771,do·bra·dor,nome masculino,do.bɾa.dˈoɾ
21772,do·bra·dor,adjetivo,do.bɾa.dˈoɾ
21773,do·bra·gem,nome feminino,do.bɾˈa.ʒeɲ
21774,do·brão,nome masculino,do.bɾˈə̃w
21775,do·brar,verbo,do.bɾˈa
21776,do·brá·vel,adjetivo,do.bɾˈa.vew
21777,do·bre,adjetivo,dˈɔ.bɾi
21778,do·bre,nome masculino,dˈɔ.bɾi
21779,do·bro,nome masculino,dˈo.bɾʊ
21780,do·bro,número,dˈo.bɾʊ
21781,do·ca,nome feminino,dˈɔ.kə
21782,do·ca,adjetivo,dˈɔ.kə
21783,do·çar,verbo,do.sˈa
21784,do·car,nome masculino,do.kˈaɾ
21785,do·ça·ri·a,nome feminino,do.sa.ɾˈi.jə
21786,do·ce,adjetivo,dˈo.si
21787,do·ce,nome masculino,dˈo.si
21788,do·ce-a·mar·ga,nome feminino,dˌo.si.a.mˈaɾ.gə
21789,do·cei·ra,nome feminino,do.sˈej.ɾə
21790,do·cei·ro,nome masculino,do.sˈej.ɾʊ
21791,do·ce·men·te,advérbio,do.se.mˈẽj.tʃi
21792,do·cên·ci·a,nome feminino,do.sˈẽj.sjə
21793,do·cen·te,nome masculino,do.sˈẽj.tʃi
21794,do·cen·te,adjetivo,do.sˈẽj.tʃi
21795,do·cen·te,nome feminino,do.sˈẽj.tʃi
21796,dó·cil,adjetivo,dˈɔ.siw
21797,do·ci·li·da·de,nome feminino,do.si.li.dˈa.dʒi
21798,do·cil·men·te,advérbio,dɔ.siw.mˈẽj.tʃi
21799,do·cu·dra·ma,nome masculino,do.ku.dɾˈə.mə
21800,do·cu·men·ta·ção,nome feminino,do.ku.mẽ.ta.sˈə̃w
21801,do·cu·men·ta·do,adjetivo,do.ku.mẽ.tˈa.dʊ
21802,do·cu·men·tal,adjetivo,do.ku.mẽ.tˈaw
21803,do·cu·men·ta·lis·ta,nome masculino,do.ku.mẽ.ta.lˈis.tə
21804,do·cu·men·ta·lis·ta,nome feminino,do.ku.mẽ.ta.lˈis.tə
21805,do·cu·men·tal·men·te,advérbio,do.ku.mẽ.taw.mˈẽj.tʃi
21806,do·cu·men·tar,verbo,do.ku.mẽ.tˈa
21807,do·cu·men·tá·ri·o,adjetivo,do.ku.mẽ.tˈa.ɾjʊ
21808,do·cu·men·tá·ri·o,nome masculino,do.ku.mẽ.tˈa.ɾjʊ
21809,do·cu·men·ta·ris·ta,nome masculino,do.ku.mẽ.ta.ɾˈis.tə
21810,do·cu·men·ta·ris·ta,nome feminino,do.ku.mẽ.ta.ɾˈis.tə
21811,do·cu·men·to,nome masculino,do.ku.mˈẽj.tʊ
21812,do·çu·ra,nome feminino,do.sˈu.ɾə
21813,do·de·ca·e·dro,nome masculino,do.de.ka.ˈɛ.dɾʊ
21814,do·de·ca·fó·ni·co,adjetivo,do.de.ka.fˈɔ.ni.kʊ
21815,do·de·ca·fo·nis·mo,nome masculino,do.de.ka.fo.nˈiz.mʊ
21816,do·dó,nome masculino,dɔ.dˈɔ
21817,do·en·ça,nome feminino,dwˈẽj.sə
21818,do·en·te,nome masculino,dwˈẽj.tʃi
21819,do·en·te,adjetivo,dwˈẽj.tʃi
21820,do·en·te,nome feminino,dwˈẽj.tʃi
21821,do·en·ti·a·men·te,advérbio,dwẽ.tʃja.mˈẽj.tʃi
21822,do·en·ti·o,adjetivo,dwẽ.tʃˈi.ʊ
21823,do·er,verbo,dwˈe
21824,do·ge,nome masculino,dˈɔ.ʒi
21825,dog·ma,nome masculino,dˈɔ.gə.mə
21826,dog·má·ti·ca,nome feminino,do.gə.mˈa.tʃi.kə
21827,dog·ma·ti·ca·men·te,advérbio,do.gə.ma.tʃi.ka.mˈẽj.tʃi
21828,dog·má·ti·co,adjetivo,do.gə.mˈa.tʃi.kʊ
21829,dog·má·ti·co,nome masculino,do.gə.mˈa.tʃi.kʊ
21830,dog·ma·tis·mo,nome masculino,do.gə.ma.tʃˈiz.mʊ
21831,dog·ma·ti·za·ção,nome feminino,do.gə.ma.tʃi.za.sˈə̃w
21832,dog·ma·ti·zar,verbo,do.gə.ma.tʃi.zˈa
21833,do·gue,nome masculino,dˈɔ.gi
21834,dói,nome masculino,dˈɔj
21835,dói-dói,nome masculino,dˌɔj.dˈɔj
21836,doi·da,nome feminino,dˈoj.də
21837,doi·da·men·te,advérbio,dwi.da.mˈẽj.tʃi ou doj.da.mˈẽj.tʃi
21838,doi·dei·ra,nome feminino,doj.dˈej.ɾə
21839,doi·di·ce,nome feminino,doj.dʒˈi.si
21840,doi·di·va·nar,verbo,doj.dʒi.va.nˈa
21841,doi·di·va·nas,nome masculino,doj.dʒi.vˈə.nəs
21842,doi·di·va·nas,nome feminino,doj.dʒi.vˈə.nəs
21843,do·í·do,adjetivo,dwˈi.dʊ
21844,doi·do,nome masculino,dˈoj.dʊ
21845,doi·do,adjetivo,dˈoj.dʊ
21846,doi·ra·da,nome feminino,doj.ɾˈa.də
21847,doi·ra·do,adjetivo,doj.ɾˈa.dʊ
21848,doi·ra·do,nome masculino,doj.ɾˈa.dʊ
21849,doi·rar,verbo,doj.ɾˈa
21850,dois,nome masculino,dˈojs
21851,dois,número,dˈojs
21852,do·jo,nome masculino,dˈo.ʒʊ
21853,dó·lar,nome masculino,dˈɔ.laɾ
21854,do·lên·ci·a,nome feminino,do.lˈẽj.sjə
21855,do·len·te,adjetivo,do.lˈẽj.tʃi
21856,do·li·na,nome feminino,do.lˈi.nə
21857,dól·man,nome masculino,dˈɔw.man
21858,dól·men,nome masculino,dˈɔw.mẽj
21859,do·lo,nome masculino,dˈɔ.lʊ
21860,do·lo·mi·ta,nome feminino,do.lo.mˈi.tə
21861,do·lo·mi·te,nome feminino,do.lo.mˈi.tʃi
21862,do·lo·ri·da·men·te,advérbio,do.lo.ɾi.da.mˈẽj.tʃi
21863,do·lo·ri·do,adjetivo,do.lo.ɾˈi.dʊ
21864,do·lo·ro·sa,nome feminino,do.lo.ɾˈo.zə
21865,do·lo·ro·sa·men·te,advérbio,do.lo.ɾɔ.za.mˈẽj.tʃi
21866,do·lo·ro·so,adjetivo,do.lo.ɾˈo.zʊ
21867,do·lo·sa·men·te,advérbio,do.lɔ.za.mˈẽj.tʃi
21868,do·lo·so,adjetivo,do.lˈo.zʊ
21869,dom,nome masculino,dˈõ
21870,dom-fa·fe,nome masculino,dˌõ.fˈa.fi
21871,do·ma,nome feminino,dˈɔ.mə ou dˈo.mə
21872,do·ma·dor,adjetivo,do.ma.dˈoɾ
21873,do·ma·dor,nome masculino,do.ma.dˈoɾ
21874,do·ma·do·ra,nome feminino,do.ma.dˈo.ɾə
21875,do·mar,verbo,do.mˈa
21876,do·má·vel,adjetivo,do.mˈa.vew
21877,do·més·ti·ca,nome feminino,do.mˈɛs.tʃi.kə
21878,do·mes·ti·ca·ção,nome feminino,do.mes.tʃi.ka.sˈə̃w
21879,do·mes·ti·ca·do,adjetivo,do.mes.tʃi.kˈa.dʊ
21880,do·mes·ti·ca·men·te,advérbio,do.mɛs.tʃi.ka.mˈẽj.tʃi
21881,do·mes·ti·car,verbo,do.mes.tʃi.kˈa
21882,do·mes·ti·cá·vel,adjetivo,do.mes.tʃi.kˈa.vew
21883,do·mes·ti·ci·da·de,nome feminino,do.mes.tʃi.si.dˈa.dʒi
21884,do·més·ti·co,adjetivo,do.mˈɛs.tʃi.kʊ
21885,do·més·ti·co,nome masculino,do.mˈɛs.tʃi.kʊ
21886,do·mi·ci·li·a·ção,nome feminino,do.mi.si.lja.sˈə̃w
21887,do·mi·ci·li·a·do,adjetivo,do.mi.si.ljˈa.dʊ
21888,do·mi·ci·li·ar,verbo,do.mi.si.ljˈa
21889,do·mi·ci·li·ar,adjetivo,do.mi.si.ljˈaɾ
21890,do·mi·ci·li·a·ri·a·men·te,advérbio,do.mi.si.lja.ɾja.mˈẽj.tʃi
21891,do·mi·ci·li·á·ri·o,adjetivo,do.mi.si.ljˈa.ɾjʊ
21892,do·mi·cí·li·o,nome masculino,do.mi.sˈi.ljʊ
21893,do·mi·na·ção,nome feminino,do.mi.na.sˈə̃w
21894,do·mi·na·do,adjetivo,do.mi.nˈa.dʊ
21895,do·mi·na·dor,adjetivo,do.mi.na.dˈoɾ
21896,do·mi·na·dor,nome masculino,do.mi.na.dˈoɾ
21897,do·mi·na·do·ra,nome feminino,do.mi.na.dˈo.ɾə
21898,do·mi·nân·ci·a,nome feminino,do.mi.nˈə̃.sjə
21899,do·mi·nan·te,adjetivo,do.mi.nˈə̃.tʃi
21900,do·mi·nan·te,nome feminino,do.mi.nˈə̃.tʃi
21901,do·mi·nan·te,nome masculino,do.mi.nˈə̃.tʃi
21902,do·mi·nan·te·men·te,advérbio,do.mi.nə̃.te.mˈẽj.tʃi
21903,do·mi·nar,verbo,do.mi.nˈa
21904,do·mi·ná·vel,adjetivo,do.mi.nˈa.vew
21905,do·min·ga,nome feminino,do.mˈĩ.gə
21906,do·min·gas,nome feminino,do.mˈĩ.gəs
21907,do·min·go,nome masculino,do.mˈĩ.gʊ
21908,do·min·guei·ra·men·te,advérbio,do.mĩ.gej.ɾa.mˈẽj.tʃi
21909,do·min·guei·ro,adjetivo,do.mĩɲ.gˈej.ɾʊ
21910,do·mi·ni·al,adjetivo,do.mi.njˈaw
21911,do·mi·ni·cal,adjetivo,do.mi.ni.kˈaw
21912,do·mi·ni·ca·na,nome feminino,do.mi.ni.kˈə.nə
21913,do·mi·ni·ca·no,adjetivo,do.mi.ni.kˈə.nʊ
21914,do·mi·ni·ca·no,nome masculino,do.mi.ni.kˈə.nʊ
21915,do·mí·ni·o,nome masculino,do.mˈi.njʊ
21916,do·mi·nó,nome masculino,dɔ.mi.nˈɔ
21917,do·mo,nome masculino,dˈo.mʊ
21918,do·mó·ti·ca,nome feminino,do.mˈɔ.tʃi.kə
21919,do·mó·ti·co,adjetivo,do.mˈɔ.tʃi.kʊ
21920,do·na,nome feminino,dˈo.nə
21921,do·na·tá·ri·o,nome masculino,do.na.tˈa.ɾjʊ
21922,do·na·ti·vo,nome masculino,do.na.tʃˈi.vʊ
21923,do·na·to,nome masculino,do.nˈa.tʊ
21924,don·de,advérbio,dˈõ.dʒi
21925,don·do,nome masculino,dˈõ.dʊ ou dˈõ.dʊ
21926,don·do,adjetivo,dˈõ.dʊ
21927,don·do·ca,nome feminino,dõ.dˈɔ.kə
21928,don·go,nome masculino,dˈõ.gʊ
21929,do·ni·nha,nome feminino,dɔ.nˈi.ɲə
21930,do·no,nome masculino,dˈo.nʊ
21931,do·no·sa·men·te,advérbio,do.nɔ.za.mˈẽj.tʃi
21932,do·no·so,adjetivo,do.nˈo.zʊ
21933,don·zel,adjetivo,dõ.zˈɛw
21934,don·zel,nome masculino,dõ.zˈɛw
21935,don·ze·la,nome feminino,dõ.zˈɛ.lə
21936,do·pa,nome feminino,dˈɔ.pə
21937,do·pa·do,adjetivo,do.pˈa.dʊ
21938,do·pa·gem,nome feminino,do.pˈa.ʒeɲ
21939,do·pa·mi·na,nome feminino,dɔ.pa.mˈi.nə
21940,do·pan·te,nome masculino,do.pˈə̃.tʃi
21941,do·pan·te,adjetivo,do.pˈə̃.tʃi
21942,do·par,verbo,do.pˈa
21943,do·pe,nome masculino,dˈɔ.pi
21944,dor,nome feminino,dˈoɾ
21945,do·ra,nome feminino,dˈɔ.ɾə
21946,do·ra·van·te,advérbio,do.ɾa.vˈə̃.tʃi
21947,dó·ri,nome masculino,dˈɔ.ɾi
21948,dó·ri·a,nome feminino,dˈɔ.ɾjə
21949,dó·ri·ca,nome feminino,dˈɔ.ɾi.kə
21950,do·ri·ca·men·te,advérbio,dɔ.ɾi.ka.mˈẽj.tʃi
21951,dó·ri·co,adjetivo,dˈɔ.ɾi.kʊ
21952,dó·ri·co,nome masculino,dˈɔ.ɾi.kʊ
21953,do·ri·da·men·te,advérbio,do.ɾi.da.mˈẽj.tʃi
21954,do·ri·do,nome masculino,do.ɾˈi.dʊ
21955,do·ri·do,adjetivo,do.ɾˈi.dʊ
21956,dó·ri·o,adjetivo,dˈɔ.ɾjʊ
21957,dó·ri·o,nome masculino,dˈɔ.ɾjʊ
21958,dor·mên·ci·a,nome feminino,doɾ.mˈẽj.sjə
21959,dor·men·te,nome masculino,doɾ.mˈẽj.tʃi
21960,dor·men·te,adjetivo,doɾ.mˈẽj.tʃi
21961,dor·men·te,nome feminino,doɾ.mˈẽj.tʃi
21962,dor·mi·da,nome feminino,doɾ.mˈi.də
21963,dor·mi·dei·ra,nome feminino,doɾ.mi.dˈej.ɾə
21964,dor·mi·do,adjetivo,doɾ.mˈi.dʊ
21965,dor·mi·nho·co,adjetivo,doɾ.mi.ɲˈo.kʊ
21966,dor·mi·nho·co,nome masculino,doɾ.mi.ɲˈo.kʊ
21967,dor·mir,verbo,doɾ.mˈi
21968,dor·mir,nome masculino,doɾ.mˈi
21969,dor·mi·tar,verbo,doɾ.mi.tˈa
21970,dor·mi·tó·ri·o,nome masculino,doɾ.mi.tˈɔ.ɾjʊ
21971,dor·na,nome feminino,dˈɔr.nə
21972,do·ro·tei·a,nome feminino,do.ɾo.tˈej.jə
21973,dor·sal,adjetivo,doɾ.sˈaw
21974,dor·sal,nome feminino,doɾ.sˈaw
21975,dor·sal·gi·a,nome feminino,doɾ.saw.ʒˈi.jə
21976,dor·so,nome masculino,dˈoɾ.sʊ
21977,do·sa,nome feminino,dˈɔ.zə
21978,do·sa·gem,nome feminino,do.zˈa.ʒeɲ
21979,do·sar,verbo,do.zˈa
21980,do·se,nome feminino,dˈɔ.zi
21981,do·se·a·dor,nome masculino,do.zi.a.dˈoɾ
21982,do·se·a·dor,adjetivo,do.zi.a.dˈoɾ
21983,do·se·a·men·to,nome masculino,do.zi.a.mˈẽj.tʊ
21984,do·se·ar,verbo,do.zi.ˈa
21985,do·si·me·tri·a,nome feminino,do.zi.me.tɾˈi.jə
21986,do·sí·me·tro,nome masculino,do.zˈi.me.tɾʊ
21987,dos·sel,nome masculino,do.sˈɛw
21988,do·ta·ção,nome feminino,do.ta.sˈə̃w
21989,do·ta·do,adjetivo,do.tˈa.dʊ
21990,do·tar,verbo,do.tˈa
21991,do·te,nome masculino,dˈɔ.tʃi
21992,dou·ra·da,nome feminino,do.ɾˈa.də
21993,dou·ra·di·nha,nome feminino,do.ɾa.dʒˈi.ɲə
21994,dou·ra·do,nome masculino,do.ɾˈa.dʊ
21995,dou·ra·do,adjetivo,do.ɾˈa.dʊ
21996,dou·ra·dor,adjetivo,do.ɾa.dˈoɾ
21997,dou·ra·dor,nome masculino,do.ɾa.dˈoɾ
21998,dou·ra·men·to,nome masculino,do.ɾa.mˈẽj.tʊ
21999,dou·rar,verbo,do.ɾˈa
22000,dous,número,dˈos
22001,dous,nome masculino,dˈos
22002,dou·ta·men·te,advérbio,do.ta.mˈẽj.tʃi
22003,dou·to,adjetivo,dˈo.tʊ
22004,dou·tor,nome masculino,do.tˈoɾ
22005,dou·to·ra,nome feminino,do.tˈo.ɾə
22006,dou·to·ra·da,nome feminino,do.to.ɾˈa.də
22007,dou·to·ra·do,adjetivo,do.to.ɾˈa.dʊ
22008,dou·to·ra·do,nome masculino,do.to.ɾˈa.dʊ
22009,dou·to·ral,adjetivo,do.to.ɾˈaw
22010,dou·to·ral,nome masculino,do.to.ɾˈaw
22011,dou·to·ral·men·te,advérbio,do.to.ɾaw.mˈẽj.tʃi
22012,dou·to·ra·men·to,nome masculino,do.to.ɾa.mˈẽj.tʊ
22013,dou·to·ran·do,nome masculino,do.to.ɾˈə̃.dʊ
22014,dou·to·rar,verbo,do.to.ɾˈa
22015,dou·to·ri·ce,nome feminino,do.to.ɾˈi.si
22016,dou·tri·na,nome feminino,do.tɾˈi.nə
22017,dou·tri·na·ção,nome feminino,do.tɾi.na.sˈə̃w
22018,dou·tri·na·dor,adjetivo,do.tɾi.na.dˈoɾ
22019,dou·tri·na·dor,nome masculino,do.tɾi.na.dˈoɾ
22020,dou·tri·nal,adjetivo,do.tɾi.nˈaw
22021,dou·tri·nal·men·te,advérbio,do.tɾi.naw.mˈẽj.tʃi
22022,dou·tri·na·men·to,nome masculino,do.tɾi.na.mˈẽj.tʊ
22023,dou·tri·nar,verbo,do.tɾi.nˈa
22024,dou·tri·ná·ri·a,nome feminino,do.tɾi.nˈa.ɾjə
22025,dou·tri·na·ri·a·men·te,advérbio,do.tɾi.na.ɾja.mˈẽj.tʃi
22026,dou·tri·ná·ri·o,nome masculino,do.tɾi.nˈa.ɾjʊ
22027,dou·tri·ná·ri·o,adjetivo,do.tɾi.nˈa.ɾjʊ
22028,dou·tri·na·ris·mo,nome masculino,do.tɾi.na.ɾˈiz.mʊ
22029,do·ze,número,dˈo.zi
22030,do·ze,nome masculino,dˈo.zi
22031,dra·car,nome masculino,dɾa.kˈaɾ
22032,drac·ma,nome feminino,dɾˈa.kə.mə
22033,dra·co·ni·a·na·men·te,advérbio,dɾa.ko.nja.na.mˈẽj.tʃi
22034,dra·co·ni·a·no,adjetivo,dɾa.ko.njˈə.nʊ
22035,dra·cun·cu·lo·se,nome feminino,dɾa.kũ.ku.lˈɔ.zi
22036,dra·ga,nome feminino,dɾˈa.gə
22037,dra·ga-mi·nas,nome masculino,dɾˌa.gə.mˈi.nəs
22038,dra·ga·gem,nome feminino,dɾa.gˈa.ʒeɲ
22039,dra·gão,nome masculino,dɾa.gˈə̃w
22040,dra·gar,verbo,dɾa.gˈa
22041,dra·gei·a,nome feminino,dɾa.ʒˈej.jə
22042,dra·go,nome masculino,dɾˈa.gʊ
22043,dra·go·ei·ro,nome masculino,dɾa.gwˈej.ɾʊ
22044,dra·go·na,nome feminino,dɾa.gˈo.nə
22045,dram,nome masculino,dɾˈə̃
22046,dra·ma,nome masculino,dɾˈə.mə
22047,dra·ma·lhão,nome masculino,dɾa.ma.ʎˈə̃w
22048,dra·má·ti·ca,nome feminino,dɾa.mˈa.tʃi.kə
